srr_id,size [B]
SRR8352456,328788927
SRR8352457,309267099
SRR8358601,7357406535
SRR8358612,1388969479
SRR8358614,1274227892
SRR8358616,1253509950
SRR8358618,1147378836
SRR8358623,1449093932
SRR8358622,1381073400
SRR8358624,1615405049
SRR8358613,1324425357
SRR8358608,7172065976
SRR8358627,1384258430
SRR8358628,1278499826
SRR8358631,1609104534
SRR8358633,1604160864
SRR8358629,1553047795
SRR8358634,1412097225
SRR8358636,1525396675
SRR8358632,1893339763
SRR8358630,1852586464
SRR8358639,1745222829
SRR8358638,1518027522
SRR8358637,1521210146
SRR8358640,1878464009
SRR8358641,1599210154
SRR8358635,1770957697
SRR8358642,1520764951
SRR8358644,1284401760
SRR8358646,1653453610
SRR8358647,1432549156
SRR8358649,1553833296
SRR8358645,1467316594
SRR8358648,1904645491
SRR8358653,1624049552
SRR8358651,1784083010
SRR8358652,1741960496
SRR8358650,2078805189
SRR8358654,1482535325
SRR8358658,1334913110
SRR8358657,1322623570
SRR8358655,1349934368
SRR8358656,1319845763
SRR8358660,1405349419
SRR8358668,1439838930
SRR8358666,1408026674
SRR8570173,1568971298
SRR8358665,1435221516
SRR8570174,1551246753
SRR8358643,1694803510
SRR8358663,1637674043
SRR8358659,1297296333
SRR8358661,1311065291
SRR8358662,1481108743
SRR8358664,1642722698
SRR8358669,508338436
SRR8358667,1469474894
SRR8632801,1140843451
SRR8632800,1028512750
SRR8358670,1169384709
SRR8358671,1211923093
SRR8632803,1287024621
SRR8632809,901641545
SRR8632806,971434243
SRR8663464,1134397398
SRR8632812,959171933
SRR8632802,3209226108
SRR8632808,1002005592
SRR8632804,1064487163
SRR8632816,4107880522
SRR8632805,1369806840
SRR8632807,998655278
SRR8632814,3689734068
SRR8663469,1179898839
SRR8632817,4074716284
SRR8632810,3754957218
SRR8663465,441428048
SRR8632813,1055129323
SRR8663467,1039423716
SRR8663462,543606152
SRR8663472,1344370968
SRR8632815,1193393237
SRR8663468,606793892
SRR8663470,1260019118
SRR8663463,378755722
SRR9016986,2855444355
SRR8663471,1074373609
SRR8663473,582670446
SRR8663475,626421887
SRR8663476,488058611
SRR9016987,2941151530
SRR8663474,487375208
SRR8663466,513418871
SRR9016989,2653462125
SRR9016995,3599069036
SRR9016990,2840251399
SRR8632811,945418524
SRR9016998,3483157430
SRR9016994,3109812245
SRR9016999,3804194979
SRR9016997,3514206290
SRR9017002,4143930522
SRR9017000,3562332316
SRR9016988,3222656640
SRR9017001,3997749610
SRR9016992,3362811436
SRR9016996,3931899225
SRR9016993,3184442029
SRR9016991,2762081874
SRR9017003,4021678684
SRR9017008,3287453843
SRR9017005,4649982510
SRR9017007,3057443651
SRR9017010,2782021620
SRR9017009,2973377128
SRR9017011,2587969476
SRR9017006,4428905960
SRR9017004,4497077263
SRR9017014,2818951845
SRR9017016,3188044086
SRR9017013,3014546478
SRR9017012,3381433417
SRR9017015,2660032430
SRR9017018,3328054834
SRR9017021,2788199385
SRR9017017,2927537652
SRR9017022,2816937496
SRR9017020,3092306359
SRR9163308,558050951
SRR9163307,835549864
SRR9163314,450021945
SRR9163312,789250365
SRR9202736,404965470
SRR9163311,1080473217
SRR9163310,557689660
SRR9017019,2760245087
SRR9202737,573017025
SRR9202742,735773781
SRR9202738,427991098
SRR9163313,791642560
SRR9202739,605929038
SRR9202743,506942095
SRR9202744,629901423
SRR9202746,422540214
SRR9202747,946427106
SRR9202740,929968801
SRR9202745,978646573
SRR9202753,558745453
SRR9202748,638139187
SRR9202751,477805440
SRR9202750,572388215
SRR9202755,690782558
SRR9202749,603403889
SRR9202754,735435860
SRR9163309,556264719
SRR9202752,455864914
SRR9202756,516132917
SRR9202741,930931811
SRR9202757,392063726
SRR9202758,581193571
SRR9202762,818559831
SRR9202760,577357823
SRR9202763,625299119
SRR9202764,909229276
SRR9202765,1295518087
SRR9202761,594965333
SRR9202769,340495086
SRR9202759,327141711
SRR9202768,329238554
SRR9202771,722397779
SRR9202770,600745561
SRR9202772,444855846
SRR9202767,472410478
SRR9202776,415011072
SRR9202782,579045545
SRR9202766,760253148
SRR9202774,1071161429
SRR9202779,405199613
SRR9202773,712537942
SRR9202775,724958278
SRR9202787,532672624
SRR9202786,801933460
SRR9202777,769594739
SRR9202778,701791889
SRR9202781,815493860
SRR9202780,335047495
SRR9202783,526064270
SRR9202789,753980934
SRR9202785,493115189
SRR9202788,705935385
SRR9202784,518124658
SRR9202790,759145343
SRR9202792,802459946
SRR9202798,1097217774
SRR9202800,766392285
SRR9202791,625432229
SRR9202794,629146791
SRR9202796,935259930
SRR9202801,436489649
SRR9202804,672068403
SRR9202803,626928576
SRR9202805,936153618
SRR9202802,381522411
SRR9202795,638854593
SRR9202799,633821148
SRR9202797,571325540
SRR9202793,624273681
