,SRR_id,tissue_name,salmon_mapping_rate [%],SRR_filesize_bytes,fastq_filesize_bytes,index_release,n_spots,nproc,instance_type,library_layout,instance_id,execution_mode,s3_path,prefetch_start_time,prefetch_end_time,fasterq_dump_start_time,fasterq_dump_end_time,salmon_start_time,salmon_end_time,deseq2_start_time,deseq2_end_time,EBS_Size,EBS_Iops,EBS_VolumeType,EBS_Throughput
12,SRR12235078,endothelium,88.8657,1315865469,6836599308,111,19431176,8,c6a.2xlarge,single,i-0d14a98b4ce01c626,EC2,s3://neardata-other/Salmon/high_mapping_rate/endothelium/normalized_counts/SRR12235078_salmon_normalized_counts.tsv,2024-05-14T10:14:56,2024-05-14T10:15:27,2024-05-14T10:15:27,2024-05-14T10:15:53,2024-05-14T10:15:53,2024-05-14T10:18:51,2024-05-14T10:18:51,2024-05-14T10:19:11,550,3000,gp3,500
13,SRR21986285,endothelium,78.0252,617689140,4449293694,111,19204009,8,c6a.2xlarge,single,i-05a055b310e156a6b,EC2,s3://neardata-other/Salmon/high_mapping_rate/endothelium/normalized_counts/SRR21986285_salmon_normalized_counts.tsv,2024-05-14T10:14:56,2024-05-14T10:15:13,2024-05-14T10:15:13,2024-05-14T10:15:34,2024-05-14T10:15:34,2024-05-14T10:18:37,2024-05-14T10:18:37,2024-05-14T10:18:57,550,3000,gp3,500
14,SRR14233734,endothelium,64.9836,404785467,2244972644,111,12442484,8,c6a.2xlarge,single,i-0696009b3c626edb1,EC2,s3://neardata-other/Salmon/high_mapping_rate/endothelium/normalized_counts/SRR14233734_salmon_normalized_counts.tsv,2024-05-14T10:19:23,2024-05-14T10:19:34,2024-05-14T10:19:34,2024-05-14T10:19:41,2024-05-14T10:19:41,2024-05-14T10:22:17,2024-05-14T10:22:17,2024-05-14T10:22:28,550,3000,gp3,500
15,SRR16541622,endothelium,60.0297,462164864,3083482152,111,4047606,8,c6a.2xlarge,paired,i-0cfe47cd248f4b9de,EC2,s3://neardata-other/Salmon/high_mapping_rate/endothelium/normalized_counts/SRR16541622_salmon_normalized_counts.tsv,2024-05-14T10:14:59,2024-05-14T10:15:09,2024-05-14T10:15:09,2024-05-14T10:15:20,2024-05-14T10:15:20,2024-05-14T10:18:33,2024-05-14T10:18:33,2024-05-14T10:18:53,550,3000,gp3,500
16,SRR6879134,endothelium,36.6586,8995876464,81048949452,111,117391579,8,c6a.2xlarge,paired,i-0565a931dbb465826,EC2,s3://neardata-other/Salmon/high_mapping_rate/endothelium/normalized_counts/SRR6879134_salmon_normalized_counts.tsv,2024-05-14T10:21:45,2024-05-14T10:25:17,2024-05-14T10:25:17,2024-05-14T10:32:38,2024-05-14T10:32:38,2024-05-14T10:51:48,2024-05-14T10:51:48,2024-05-14T10:51:58,550,3000,gp3,500
17,SRR1724263,epithelium,86.9412,308957579,1596629830,111,7301402,8,c6a.2xlarge,single,i-0642941784144cc2b,EC2,s3://neardata-other/Salmon/high_mapping_rate/epithelium/normalized_counts/SRR1724263_salmon_normalized_counts.tsv,2024-05-14T10:17:50,2024-05-14T10:17:57,2024-05-14T10:17:57,2024-05-14T10:18:03,2024-05-14T10:18:03,2024-05-14T10:19:12,2024-05-14T10:19:12,2024-05-14T10:19:22,550,3000,gp3,500
18,SRR18253073,epithelium,74.2176,341167589,1824622598,111,6894039,8,c6a.2xlarge,single,i-0642941784144cc2b,EC2,s3://neardata-other/Salmon/high_mapping_rate/epithelium/normalized_counts/SRR18253073_salmon_normalized_counts.tsv,2024-05-14T10:15:04,2024-05-14T10:15:15,2024-05-14T10:15:15,2024-05-14T10:15:19,2024-05-14T10:15:19,2024-05-14T10:17:29,2024-05-14T10:17:29,2024-05-14T10:17:49,550,3000,gp3,500
19,SRR7093856,fibroblasts,93.5747,472412659,3960475540,111,17262586,8,c6a.2xlarge,single,i-0565a931dbb465826,EC2,s3://neardata-other/Salmon/high_mapping_rate/fibroblasts/normalized_counts/SRR7093856_salmon_normalized_counts.tsv,2024-05-14T10:15:18,2024-05-14T10:15:30,2024-05-14T10:15:30,2024-05-14T10:15:48,2024-05-14T10:15:48,2024-05-14T10:18:21,2024-05-14T10:18:21,2024-05-14T10:18:41,550,3000,gp3,500
20,SRR8866763,fibroblasts,83.2194,780890977,5293829668,111,21878497,8,c6a.2xlarge,single,i-0565a931dbb465826,EC2,s3://neardata-other/Salmon/high_mapping_rate/fibroblasts/normalized_counts/SRR8866763_salmon_normalized_counts.tsv,2024-05-14T10:18:42,2024-05-14T10:19:02,2024-05-14T10:19:02,2024-05-14T10:19:19,2024-05-14T10:19:19,2024-05-14T10:21:34,2024-05-14T10:21:34,2024-05-14T10:21:44,550,3000,gp3,500
21,ERR5769920,fibroblasts,75.6197,1582690562,10595385740,111,15994423,8,c6a.2xlarge,paired,i-028dbe724e88d8ce4,EC2,s3://neardata-other/Salmon/high_mapping_rate/fibroblasts/normalized_counts/ERR5769920_salmon_normalized_counts.tsv,2024-05-14T10:17:50,2024-05-14T10:18:25,2024-05-14T10:18:25,2024-05-14T10:19:00,2024-05-14T10:19:00,2024-05-14T10:21:18,2024-05-14T10:21:18,2024-05-14T10:21:28,550,3000,gp3,500
