,SRR_id,tissue_name,salmon_mapping_rate [%],SRR_filesize_bytes,fastq_filesize_bytes,index_release,n_spots,nproc,instance_type,library_layout,instance_id,execution_mode,s3_path,prefetch_start_time,prefetch_end_time,fasterq_dump_start_time,fasterq_dump_end_time,salmon_start_time,salmon_end_time,deseq2_start_time,deseq2_end_time,EBS_VolumeType,EBS_Throughput,EBS_Iops,EBS_Size
12,SRR12235078,endothelium,88.8657,1315865469,6836599308,111,19431176,8,c7a.2xlarge,single,i-0eff43c3341afc652,EC2,s3://neardata-other/Salmon/high_mapping_rate/endothelium/normalized_counts/SRR12235078_salmon_normalized_counts.tsv,2024-05-14T11:18:22,2024-05-14T11:18:50,2024-05-14T11:18:50,2024-05-14T11:19:14,2024-05-14T11:19:14,2024-05-14T11:21:43,2024-05-14T11:21:43,2024-05-14T11:22:01,gp3,500,3000,550
13,SRR21986285,endothelium,78.0252,617689140,4449293694,111,19204009,8,c7a.2xlarge,single,i-0e57b51004aaa3904,EC2,s3://neardata-other/Salmon/high_mapping_rate/endothelium/normalized_counts/SRR21986285_salmon_normalized_counts.tsv,2024-05-14T11:21:05,2024-05-14T11:21:20,2024-05-14T11:21:20,2024-05-14T11:21:35,2024-05-14T11:21:35,2024-05-14T11:23:04,2024-05-14T11:23:04,2024-05-14T11:23:13,gp3,500,3000,550
14,SRR14233734,endothelium,64.9836,404785467,2244972644,111,12442484,8,c7a.2xlarge,single,i-015beea34a6d5a5df,EC2,s3://neardata-other/Salmon/high_mapping_rate/endothelium/normalized_counts/SRR14233734_salmon_normalized_counts.tsv,2024-05-14T11:18:22,2024-05-14T11:18:32,2024-05-14T11:18:32,2024-05-14T11:18:39,2024-05-14T11:18:39,2024-05-14T11:22:06,2024-05-14T11:22:06,2024-05-14T11:22:24,gp3,500,3000,550
15,SRR16541622,endothelium,60.0297,462164864,3083482152,111,4047606,8,c7a.2xlarge,paired,i-02598f5b02019c014,EC2,s3://neardata-other/Salmon/high_mapping_rate/endothelium/normalized_counts/SRR16541622_salmon_normalized_counts.tsv,2024-05-14T11:18:22,2024-05-14T11:18:33,2024-05-14T11:18:33,2024-05-14T11:18:43,2024-05-14T11:18:43,2024-05-14T11:21:18,2024-05-14T11:21:18,2024-05-14T11:21:37,gp3,500,3000,550
16,SRR6879134,endothelium,36.6584,8995876464,81048949452,111,117391579,8,c7a.2xlarge,paired,i-072f12bc9fda71d22,EC2,s3://neardata-other/Salmon/high_mapping_rate/endothelium/normalized_counts/SRR6879134_salmon_normalized_counts.tsv,2024-05-14T11:18:22,2024-05-14T11:21:15,2024-05-14T11:21:15,2024-05-14T11:28:54,2024-05-14T11:28:54,2024-05-14T11:42:31,2024-05-14T11:42:31,2024-05-14T11:42:50,gp3,500,3000,550
17,SRR1724263,epithelium,86.9412,308957579,1596629830,111,7301402,8,c7a.2xlarge,single,i-0e37006c292e97141,EC2,s3://neardata-other/Salmon/high_mapping_rate/epithelium/normalized_counts/SRR1724263_salmon_normalized_counts.tsv,2024-05-14T11:18:24,2024-05-14T11:18:31,2024-05-14T11:18:31,2024-05-14T11:18:36,2024-05-14T11:18:36,2024-05-14T11:21:04,2024-05-14T11:21:04,2024-05-14T11:21:22,gp3,500,3000,550
18,SRR18253073,epithelium,74.2179,341167589,1824622598,111,6894039,8,c7a.2xlarge,single,i-0e57b51004aaa3904,EC2,s3://neardata-other/Salmon/high_mapping_rate/epithelium/normalized_counts/SRR18253073_salmon_normalized_counts.tsv,2024-05-14T11:18:23,2024-05-14T11:18:32,2024-05-14T11:18:32,2024-05-14T11:18:36,2024-05-14T11:18:36,2024-05-14T11:20:38,2024-05-14T11:20:38,2024-05-14T11:21:04,gp3,500,3000,550
19,SRR7093856,fibroblasts,93.5748,472412659,3960475540,111,17262586,8,c7a.2xlarge,single,i-008efc79e694167f5,EC2,s3://neardata-other/Salmon/high_mapping_rate/fibroblasts/normalized_counts/SRR7093856_salmon_normalized_counts.tsv,2024-05-14T11:18:43,2024-05-14T11:18:53,2024-05-14T11:18:53,2024-05-14T11:19:06,2024-05-14T11:19:06,2024-05-14T11:21:29,2024-05-14T11:21:29,2024-05-14T11:21:46,gp3,500,3000,550
20,SRR8866763,fibroblasts,83.2194,780890977,5293829668,111,21878497,8,c7a.2xlarge,single,i-0ef2170d0514b0d50,EC2,s3://neardata-other/Salmon/high_mapping_rate/fibroblasts/normalized_counts/SRR8866763_salmon_normalized_counts.tsv,2024-05-14T11:18:45,2024-05-14T11:19:03,2024-05-14T11:19:03,2024-05-14T11:19:20,2024-05-14T11:19:20,2024-05-14T11:21:57,2024-05-14T11:21:57,2024-05-14T11:22:16,gp3,500,3000,550
21,ERR5769920,fibroblasts,75.6196,1582690562,10595385740,111,15994423,8,c7a.2xlarge,paired,i-04fad3c12b1458047,EC2,s3://neardata-other/Salmon/high_mapping_rate/fibroblasts/normalized_counts/ERR5769920_salmon_normalized_counts.tsv,2024-05-14T11:18:46,2024-05-14T11:19:05,2024-05-14T11:19:05,2024-05-14T11:19:48,2024-05-14T11:19:48,2024-05-14T11:22:28,2024-05-14T11:22:28,2024-05-14T11:22:47,gp3,500,3000,550
22,SRR8981819,fibroblasts,74.8716,6421228614,37875218184,111,49432431,8,c7a.2xlarge,paired,i-015beea34a6d5a5df,EC2,s3://neardata-other/Salmon/high_mapping_rate/fibroblasts/normalized_counts/SRR8981819_salmon_normalized_counts.tsv,2024-05-14T11:22:25,2024-05-14T11:24:37,2024-05-14T11:24:37,2024-05-14T11:28:03,2024-05-14T11:28:03,2024-05-14T11:34:24,2024-05-14T11:34:24,2024-05-14T11:34:34,gp3,500,3000,550
23,ERR3671311,heart_muscle,89.093,410926012,3436222438,111,14932640,8,c7a.2xlarge,single,i-008efc79e694167f5,EC2,s3://neardata-other/Salmon/high_mapping_rate/heart_muscle/normalized_counts/ERR3671311_salmon_normalized_counts.tsv,2024-05-14T11:21:48,2024-05-14T11:21:53,2024-05-14T11:21:53,2024-05-14T11:22:01,2024-05-14T11:22:01,2024-05-14T11:23:04,2024-05-14T11:23:04,2024-05-14T11:23:13,gp3,500,3000,550
24,SRR4240822,heart_muscle,59.9336,2554703581,16369328280,111,31800345,8,c7a.2xlarge,paired,i-03c91d8562398a534,EC2,s3://neardata-other/Salmon/high_mapping_rate/heart_muscle/normalized_counts/SRR4240822_salmon_normalized_counts.tsv,2024-05-14T11:18:46,2024-05-14T11:19:36,2024-05-14T11:19:36,2024-05-14T11:21:02,2024-05-14T11:21:02,2024-05-14T11:23:56,2024-05-14T11:23:56,2024-05-14T11:24:14,gp3,500,3000,550
25,SRR16145819,heart_muscle,30.3346,2152535766,16629364226,111,51246194,8,c7a.2xlarge,single,i-008efc79e694167f5,EC2,s3://neardata-other/Salmon/high_mapping_rate/heart_muscle/normalized_counts/SRR16145819_salmon_normalized_counts.tsv,2024-05-14T11:23:14,2024-05-14T11:23:39,2024-05-14T11:23:39,2024-05-14T11:25:10,2024-05-14T11:25:10,2024-05-14T11:51:19,2024-05-14T11:51:19,2024-05-14T11:51:29,gp3,500,3000,550
26,SRR12503616,heart_muscle,30.3316,1720016748,13332049450,111,41099010,8,c7a.2xlarge,single,i-09143eb67f861df7d,EC2,s3://neardata-other/Salmon/high_mapping_rate/heart_muscle/normalized_counts/SRR12503616_salmon_normalized_counts.tsv,2024-05-14T11:23:06,2024-05-14T11:23:40,2024-05-14T11:23:40,2024-05-14T11:24:38,2024-05-14T11:24:38,2024-05-14T11:46:14,2024-05-14T11:46:14,2024-05-14T11:46:23,gp3,500,3000,550
27,SRR1220504,intestine,69.1863,1360639506,6494987908,111,9586715,8,c7a.2xlarge,paired,i-0e37006c292e97141,EC2,s3://neardata-other/Salmon/high_mapping_rate/intestine/normalized_counts/SRR1220504_salmon_normalized_counts.tsv,2024-05-14T11:21:24,2024-05-14T11:21:52,2024-05-14T11:21:52,2024-05-14T11:22:12,2024-05-14T11:22:12,2024-05-14T11:22:44,2024-05-14T11:22:44,2024-05-14T11:22:53,gp3,500,3000,550
28,SRR12495892,intestine,66.6271,1981200625,15452537308,111,20131381,8,c7a.2xlarge,paired,i-03c91d8562398a534,EC2,s3://neardata-other/Salmon/high_mapping_rate/intestine/normalized_counts/SRR12495892_salmon_normalized_counts.tsv,2024-05-14T11:24:17,2024-05-14T11:24:56,2024-05-14T11:24:56,2024-05-14T11:26:06,2024-05-14T11:26:06,2024-05-14T11:28:54,2024-05-14T11:28:54,2024-05-14T11:29:03,gp3,500,3000,550
29,SRR10600396,intestine,50.8838,11808688005,77111111184,111,100000000,8,c7a.2xlarge,paired,i-04f4ab28c7849ca75,EC2,s3://neardata-other/Salmon/high_mapping_rate/intestine/normalized_counts/SRR10600396_salmon_normalized_counts.tsv,2024-05-14T11:22:15,2024-05-14T11:26:14,2024-05-14T11:26:14,2024-05-14T11:33:19,2024-05-14T11:33:19,2024-05-14T11:59:11,2024-05-14T11:59:11,2024-05-14T11:59:21,gp3,500,3000,550
30,SRR11245149,intestine,33.6466,3886013024,17940220944,111,50603525,8,c7a.2xlarge,single,i-02598f5b02019c014,EC2,s3://neardata-other/Salmon/high_mapping_rate/intestine/normalized_counts/SRR11245149_salmon_normalized_counts.tsv,2024-05-14T11:21:38,2024-05-14T11:22:54,2024-05-14T11:22:54,2024-05-14T11:24:34,2024-05-14T11:24:34,2024-05-14T11:28:54,2024-05-14T11:28:54,2024-05-14T11:29:03,gp3,500,3000,550
31,SRR14132098,kidney_cells,92.1268,2007386141,13675145186,111,47970593,8,c7a.2xlarge,single,i-0eff43c3341afc652,EC2,s3://neardata-other/Salmon/high_mapping_rate/kidney_cells/normalized_counts/SRR14132098_salmon_normalized_counts.tsv,2024-05-14T11:22:03,2024-05-14T11:22:44,2024-05-14T11:22:44,2024-05-14T11:23:46,2024-05-14T11:23:46,2024-05-14T11:26:36,2024-05-14T11:26:36,2024-05-14T11:26:45,gp3,500,3000,550
32,SRR15269003,kidney_cells,89.6641,742089882,5432454912,111,7085083,8,c7a.2xlarge,paired,i-0ef2170d0514b0d50,EC2,s3://neardata-other/Salmon/high_mapping_rate/kidney_cells/normalized_counts/SRR15269003_salmon_normalized_counts.tsv,2024-05-14T11:22:18,2024-05-14T11:22:34,2024-05-14T11:22:34,2024-05-14T11:22:50,2024-05-14T11:22:50,2024-05-14T11:23:51,2024-05-14T11:23:51,2024-05-14T11:23:59,gp3,500,3000,550
33,SRR15269032,kidney_cells,84.0504,641019564,4908559872,111,6402928,8,c7a.2xlarge,paired,i-0c203027d5c567c50,EC2,s3://neardata-other/Salmon/high_mapping_rate/kidney_cells/normalized_counts/SRR15269032_salmon_normalized_counts.tsv,2024-05-14T11:25:23,2024-05-14T11:25:38,2024-05-14T11:25:38,2024-05-14T11:25:51,2024-05-14T11:25:51,2024-05-14T11:26:53,2024-05-14T11:26:53,2024-05-14T11:27:02,gp3,500,3000,550
34,ERR6212760,kidney_cells,80.2905,285614284,1979491578,111,2943007,8,c7a.2xlarge,paired,i-04fad3c12b1458047,EC2,s3://neardata-other/Salmon/high_mapping_rate/kidney_cells/normalized_counts/ERR6212760_salmon_normalized_counts.tsv,2024-05-14T11:22:49,2024-05-14T11:22:56,2024-05-14T11:22:56,2024-05-14T11:22:59,2024-05-14T11:22:59,2024-05-14T11:23:15,2024-05-14T11:23:15,2024-05-14T11:23:24,gp3,500,3000,550
35,SRR2895311,kidney_cells,71.3571,5364156270,51498502728,111,86956409,8,c7a.2xlarge,paired,i-0e37006c292e97141,EC2,s3://neardata-other/Salmon/high_mapping_rate/kidney_cells/normalized_counts/SRR2895311_salmon_normalized_counts.tsv,2024-05-14T11:22:55,2024-05-14T11:24:15,2024-05-14T11:24:15,2024-05-14T11:28:54,2024-05-14T11:28:54,2024-05-14T11:35:59,2024-05-14T11:35:59,2024-05-14T11:36:09,gp3,500,3000,550
