n_threads,execution_time_seconds,srr_id,srr_size_MiB,ebs_throughput,ebs_iops,instance_type
16,19.598226617,SRR6192356,202,500,3000,c6a.4xlarge
14,20.105868590,SRR6192356,202,500,3000,c6a.4xlarge
12,19.926975873,SRR6192356,202,500,3000,c6a.4xlarge
10,22.570202910,SRR6192356,202,500,3000,c6a.4xlarge
8,23.146292538,SRR6192356,202,500,3000,c6a.4xlarge
6,24.926443856,SRR6192356,202,500,3000,c6a.4xlarge
4,32.949844963,SRR6192356,202,500,3000,c6a.4xlarge
2,60.974766199,SRR6192356,202,500,3000,c6a.4xlarge
1,102.077781266,SRR6192356,202,500,3000,c6a.4xlarge
16,115.516091580,SRR20688788,2073,500,3000,c6a.4xlarge
14,113.173402199,SRR20688788,2073,500,3000,c6a.4xlarge
12,135.028459240,SRR20688788,2073,500,3000,c6a.4xlarge
10,133.213986134,SRR20688788,2073,500,3000,c6a.4xlarge
8,147.147833907,SRR20688788,2073,500,3000,c6a.4xlarge
6,199.473417578,SRR20688788,2073,500,3000,c6a.4xlarge
4,280.717127143,SRR20688788,2073,500,3000,c6a.4xlarge
2,535.959374111,SRR20688788,2073,500,3000,c6a.4xlarge
1,1045.175919690,SRR20688788,2073,500,3000,c6a.4xlarge
16,2259.810805492,SRR11869226,10530,500,3000,c6a.4xlarge
14,2423.467099095,SRR11869226,10530,500,3000,c6a.4xlarge
12,2626.437941600,SRR11869226,10530,500,3000,c6a.4xlarge
10,2873.150365548,SRR11869226,10530,500,3000,c6a.4xlarge
8,3154.531264994,SRR11869226,10530,500,3000,c6a.4xlarge
6,4143.146560330,SRR11869226,10530,500,3000,c6a.4xlarge
4,6142.907368186,SRR11869226,10530,500,3000,c6a.4xlarge
2,12138.120277670,SRR11869226,10530,500,3000,c6a.4xlarge
1,24062.090183782,SRR11869226,10530,500,3000,c6a.4xlarge
16,19.953121972,SRR6192356,202,500,3000,c6a.4xlarge
14,20.047858720,SRR6192356,202,500,3000,c6a.4xlarge
12,21.047610628,SRR6192356,202,500,3000,c6a.4xlarge
10,22.180330065,SRR6192356,202,500,3000,c6a.4xlarge
8,20.851520522,SRR6192356,202,500,3000,c6a.4xlarge
6,26.674608937,SRR6192356,202,500,3000,c6a.4xlarge
4,34.654983207,SRR6192356,202,500,3000,c6a.4xlarge
2,58.340072101,SRR6192356,202,500,3000,c6a.4xlarge
1,105.472502284,SRR6192356,202,500,3000,c6a.4xlarge
16,115.993587788,SRR20688788,2073,500,3000,c6a.4xlarge
14,113.255286261,SRR20688788,2073,500,3000,c6a.4xlarge
12,131.090065709,SRR20688788,2073,500,3000,c6a.4xlarge
10,131.692861798,SRR20688788,2073,500,3000,c6a.4xlarge
8,154.270197092,SRR20688788,2073,500,3000,c6a.4xlarge
6,196.324311360,SRR20688788,2073,500,3000,c6a.4xlarge
4,263.274737900,SRR20688788,2073,500,3000,c6a.4xlarge
2,523.548205496,SRR20688788,2073,500,3000,c6a.4xlarge
1,1020.418216981,SRR20688788,2073,500,3000,c6a.4xlarge
16,18.000920870,SRR6192356,202,500,3000,c6a.4xlarge
14,21.256085963,SRR6192356,202,500,3000,c6a.4xlarge
12,20.554222436,SRR6192356,202,500,3000,c6a.4xlarge
10,21.554615328,SRR6192356,202,500,3000,c6a.4xlarge
8,22.557192588,SRR6192356,202,500,3000,c6a.4xlarge
6,27.297100531,SRR6192356,202,500,3000,c6a.4xlarge
4,34.614083551,SRR6192356,202,500,3000,c6a.4xlarge
2,54.061973546,SRR6192356,202,500,3000,c6a.4xlarge
1,104.470295690,SRR6192356,202,500,3000,c6a.4xlarge
16,115.411506960,SRR20688788,2073,500,3000,c6a.4xlarge
14,112.741300626,SRR20688788,2073,500,3000,c6a.4xlarge
12,131.769456353,SRR20688788,2073,500,3000,c6a.4xlarge
10,131.671944690,SRR20688788,2073,500,3000,c6a.4xlarge
8,143.588133369,SRR20688788,2073,500,3000,c6a.4xlarge
6,195.244510143,SRR20688788,2073,500,3000,c6a.4xlarge
4,277.384805159,SRR20688788,2073,500,3000,c6a.4xlarge
2,499.619704132,SRR20688788,2073,500,3000,c6a.4xlarge
1,1022.088503826,SRR20688788,2073,500,3000,c6a.4xlarge
