n_threads,execution_time_seconds,srr_id,srr_size_MiB,ebs_throughput,ebs_iops,instance_type,fastq_size_MiB
16,25.105296071,SRR6192356,202,1000,4000,m6a.4xlarge,1078
14,24.259146634,SRR6192356,202,1000,4000,m6a.4xlarge,1078
12,23.622393187,SRR6192356,202,1000,4000,m6a.4xlarge,1078
10,22.673529822,SRR6192356,202,1000,4000,m6a.4xlarge,1078
8,26.983408958,SRR6192356,202,1000,4000,m6a.4xlarge,1078
6,30.578723478,SRR6192356,202,1000,4000,m6a.4xlarge,1078
4,37.730062217,SRR6192356,202,1000,4000,m6a.4xlarge,1078
2,59.661649896,SRR6192356,202,1000,4000,m6a.4xlarge,1078
1,111.230831263,SRR6192356,202,1000,4000,m6a.4xlarge,1078
16,285.401059349,SRR20688788,2073,1000,4000,m6a.4xlarge,17019
14,301.773451272,SRR20688788,2073,1000,4000,m6a.4xlarge,17019
12,319.031393791,SRR20688788,2073,1000,4000,m6a.4xlarge,17019
10,341.088561484,SRR20688788,2073,1000,4000,m6a.4xlarge,17019
8,367.194068431,SRR20688788,2073,1000,4000,m6a.4xlarge,17019
6,472.008779235,SRR20688788,2073,1000,4000,m6a.4xlarge,17019
4,695.357992327,SRR20688788,2073,1000,4000,m6a.4xlarge,17019
2,1361.283865131,SRR20688788,2073,1000,4000,m6a.4xlarge,17019
1,2668.394810224,SRR20688788,2073,1000,4000,m6a.4xlarge,17019
16,959.925458134,SRR11869226,10530,1000,4000,m6a.4xlarge,83903
14,1017.646129530,SRR11869226,10530,1000,4000,m6a.4xlarge,83903
12,1079.822081255,SRR11869226,10530,1000,4000,m6a.4xlarge,83903
10,1161.562434781,SRR11869226,10530,1000,4000,m6a.4xlarge,83903
8,1267.584919236,SRR11869226,10530,1000,4000,m6a.4xlarge,83903
6,1602.401902393,SRR11869226,10530,1000,4000,m6a.4xlarge,83903
4,2305.259894533,SRR11869226,10530,1000,4000,m6a.4xlarge,83903
2,4497.364820783,SRR11869226,10530,1000,4000,m6a.4xlarge,83903
1,8986.717109631,SRR11869226,10530,1000,4000,m6a.4xlarge,83903
